Order_ID,Order_Date,Ship_Date,Ship_Mode,Country_Region,City,State_Province,Postal_Code,Customer_Name,Product_Name,Quantity,Discount
74750,2023-02-13,4,First Class,United States,Dallas,Texas,75372,Nathan Gelder,Bulldog Vacuum Base Pencil Sharpener,80,0.25
373225,2023-03-15,3,Second Class,Mexico,Las Flores,Tamaulipas,87395,Ivan Gibson,Bush Heritage Pine Collection 5-Shelf Bookcase,76,0.55
496424,2023-04-10,16,Expedited,Mexico,Fovissste,Sonora,85936,Thais Sissman,Eldon Delta Triangular Chair Mat,100,0.01
685122,2023-11-13,18,Second Class,United States,Denver,Colorado,80262,Robert Dilbeck,C-Line Peel & Stick Add-On Filing Pockets,92,0.08
358018,2023-07-05,4,First Class,United States,Waco,Texas,76705,William Brown,Computer Room Manger,41,0.6
983004,2023-07-08,5,Standard Class,Canada,Melfort,Saskatchewan,B3H,Barry Weirich,Assorted,93,0.18
109843,2023-01-26,17,Expedited,United States,Reno,Nevada,89510,Christina VanderZanden,Model L Table or Wall-Mount Pencil Sharpener,46,0.24
82629,2023-05-17,6,Second Class,United States,El Paso,Texas,88546,Darren Powers,KeyTronicÂ KT400U2 -Â KeyboardÂ - Black,24,0.11
890044,2023-03-24,22,Expedited,Canada,Merritt,British Columbia,V1K,Vivek Gonzalez,Nortel Networks T7316 E Nt8 B27,42,0.58
586412,2023-03-19,4,Second Class,United States,Oklahoma City,Oklahoma,73173,Carlos Meador,Recycled Steel Personal File for Standard File Folders,62,0.62
697701,2023-07-26,29,First Class,United States,Fresno,California,93726,Ann Blume,14 7/8 X 11,43,0.16
216819,2023-11-28,20,Second Class,United States,New Orleans,Louisiana,70116,Randy Bradley,Bravo II Megaboss 12-Amp Hard Body Upright,87,0.53
829914,2023-07-19,4,Standard Class,United States,Warren,Ohio,44485,Ivan Gibson,Angle-D Binders with Locking Rings,58,0.27
568312,2023-03-29,12,Expedited,United States,Huntington,West Virginia,25709,Mitch Webber,Kingston Digital DataTraveler 32GB USB 2.0,96,0.72
273206,2023-05-01,5,Second Class,United States,Lees Summit,Missouri,64082,Katrina Bavinger,Epson Perfection V600 Photo Scanner,4,0.69
239670,2023-05-24,17,Expedited,United States,Camden,New Jersey,08104,Benjamin Venier,Eldon Fold N Roll Cart System,9,0.41
568632,2023-10-03,12,Standard Class,United States,Miami,Florida,33147,Katherine Nockton,Enermax Aurora Lite Keyboard,80,0.37
347060,2023-03-19,13,Expedited,United States,Jamaica,New York,11499,Ted Butterfield,Avery Legal 4-Ring Binder,25,0.49
840971,2023-10-07,13,First Class,Mexico,San Francisco,Jalisco,46175,Liz Willingham,Ibico Hi-Tech Manual Binding System,54,0.52
84982,2023-02-20,21,Standard Class,Mexico,Las Palmas,Oaxaca,71984,Lisa Ryan,HEPA Filter,25,0.32
30618,2023-07-19,18,Expedited,Canada,Sylvan Lake,Alberta,T4S,Brendan Dodson,Bevis Round Conference Table Top,36,0.36
463418,2023-05-24,29,Second Class,Canada,Mont-Joli,Québec,G5H,Jas OCarroll,Advantus Panel Wall Acrylic Frame,6,0.26
553569,2023-12-22,8,Expedited,United States,Atlanta,Georgia,31165,Ruben Dartt,Aastra 57i VoIP phone,82,0.23
372659,2023-03-25,13,First Class,Canada,Rivière-du-Loup,Québec,G5R,Mike Gockenbach,6 Capacity,15,0.26
42359,2023-07-09,12,Expedited,United States,Little Rock,Arkansas,72215,Maria Etezadi,Newell 320,97,0.61
743701,2023-12-08,15,First Class,Mexico,San Francisco,Guerrero,41600,Michael Stewart,Plantronics 81402,18,0.59
572124,2023-12-19,24,First Class,Mexico,Nicolas Bravo,Guerrero,40030,Erica Hackney,Kensington 6 Outlet MasterPiece HOMEOFFICE Power Control Center,2,0.24
575813,2023-07-02,21,Standard Class,Mexico,Guadalupe Victoria,Veracruz Llave,93856,Alex Russell,Black,40,0.6
424323,2023-11-28,4,Second Class,United States,Nashville,Tennessee,37215,Ralph Arnett,Hon 2090 â€œPillow Softâ€ Series Mid Back Swivel/Tilt Chairs,18,0.56
467971,2023-01-07,15,Expedited,Mexico,Chapultepec,Coahuila De Zaragoza,25050,Cathy Hwang,BIC Brite Liner Grip Highlighters,97,0.29
45401,2023-07-05,17,Second Class,United States,Boise,Idaho,83727,Deirdre Greer,Global Troy Executive Leather Low-Back Tilter,56,0.12
154806,2023-11-23,8,Standard Class,Canada,Neuville,Québec,T9M,Scott Williamson,Black,74,0.72
405911,2023-05-25,16,Standard Class,United States,Atlanta,Georgia,30358,Caroline Jumper,Acco Hot Clips Clips to Go,68,0.67
501922,2023-10-11,18,Second Class,United States,Miami,Florida,33129,Ken Lonsdale,Xerox 1931,56,0.49
191668,2023-04-25,11,First Class,Mexico,La Palma,Mexico,52600,Scott Cohen,Clear Plastic Sheets,16,0.28
849532,2023-06-24,24,Second Class,United States,Corona,California,92878,Helen Abelman,Strathmore #10 Envelopes,67,0.63
900230,2023-02-25,5,Expedited,United States,Louisville,Kentucky,40266,Alan Shonely,Southworth 25% Cotton Granite Paper & Envelopes,98,0.73
797959,2023-03-25,24,First Class,Canada,Port Hawkesbury,Nova Scotia,B9A,Paul Knutson,Assorted Colors,23,0.06
787477,2023-04-20,1,First Class,United States,Dallas,Texas,75287,Laura Armstrong,Wood Photo Frame,93,0.55
765032,2023-12-10,16,Expedited,Canada,Chilliwack,British Columbia,N5L,Duane Huffman,Fellowes Twister Kit,40,0.05
464111,2023-01-07,28,Expedited,United States,Oklahoma City,Oklahoma,73190,Cassandra Brandow,72h,26,0.25
329284,2023-08-20,22,Second Class,Mexico,Solidaridad,Veracruz Llave,94330,Sharelle Roach,GE General Use Halogen Bulbs,2,0.01
397948,2023-08-10,26,Expedited,Canada,Victoria,British Columbia,V9A,Jason Fortune-,Logitech Desktop MK120 Mouse and keyboard Combo,1,0.04
335700,2023-05-11,2,Second Class,United States,Milwaukee,Wisconsin,53277,Guy Armstrong,Xerox 216,27,0.01
490379,2023-11-12,4,Second Class,Mexico,Emiliano Zapata,Chiapas,30890,Pamela Stobb,Bevis 44 x 96 Conference Tables,30,0.36
514043,2023-09-14,11,Expedited,Canada,Carbonear,Newfoundland and Labrador,A1Y,Anthony Rawles,Newell 34,66,0.55
534678,2023-08-15,1,Standard Class,United States,Des Moines,Iowa,50362,Brooke Gillingham,GBC Linen Binding Covers,66,0.22
991756,2023-10-13,2,First Class,United States,Lincoln,Nebraska,68517,Dean Katz,Ultimate White,89,0.11
499081,2023-09-04,26,Second Class,Mexico,Emiliano Zapata,Mexico,51355,Barry FranzÃ¶sisch,Pyle PMP37LED,23,0.75
873576,2023-04-22,28,Standard Class,United States,Minneapolis,Minnesota,55458,Trudy Glocke,GBC Plastic Binding Combs,82,0.37
918164,2023-01-07,5,Standard Class,Canada,Waterloo,Ontario,N2L,David Philippe,Angle-D Binders with Locking Rings,11,0.26
