Order_ID,Order_Date,Ship_Date,Ship_Mode,Country_Region,City,State_Province,Postal_Code,Customer_Name,Product_Name,Quantity,Discount
593493,2018-02-25,18,First Class,United States,Newark,New Jersey,07195,Ken Black,Case Logic 2.4GHz Wireless Keyboard,65,0.69
245840,2018-07-29,3,Second Class,United States,Peoria,Arizona,85383,Craig Leslie,DAX Value U-Channel Document Frames,2,0.47
418194,2018-07-16,26,Second Class,Canada,Fermont,Québec,J1E,David Wiener,End Table,14,0.26
520755,2018-06-24,19,First Class,Canada,Princeville,Québec,J1J,Rick Hansen,Colored Envelopes,52,0.07
254624,2018-07-17,13,Second Class,United States,Denton,Texas,76205,Tom Stivers,Acme Kleen Earth Office Shears,48,0.54
948270,2018-07-31,10,Second Class,Mexico,Las Flores,Tamaulipas,87395,Phillina Ober,Avery 49,28,0.63
922829,2018-02-17,23,Standard Class,Canada,Stonewall,Manitoba,H9J,Tim Brockman,19w x 6d x 43h,28,0.32
335157,2018-05-10,12,Standard Class,Mexico,Buenavista,Oaxaca,71730,Henry MacAllister,Eldon Shelf Savers Cubes and Bins,10,0.14
404484,2018-07-16,2,Standard Class,Mexico,Independencia,Guanajuato,38260,Trudy Glocke,Satellite Sectional Post Binders,18,0.4
523545,2018-02-04,17,Expedited,Mexico,Guadalupe,Veracruz Llave,94590,Erin Ashbrook,Xerox 1978,95,0.38
916238,2018-12-04,26,Standard Class,Mexico,Francisco I Madero,Chiapas,30853,Steven Cartwright,Staple remover,52,0.56
736215,2018-05-07,4,Second Class,Mexico,Benito Juarez,Chihuahua,31540,Thea Hudgings,Things To Do Today Spiral Book,55,0.35
737861,2018-09-28,24,Standard Class,United States,Phoenix,Arizona,85053,Bobby Odegard,Hunt BOSTON Vista Battery-Operated Pencil Sharpener,85,0.34
28368,2018-12-06,14,Second Class,United States,Rochester,New York,14683,Thea Hendricks,Xerox 1990,18,0.43
443618,2018-04-02,15,First Class,United States,Washington,District of Columbia,20022,Julia Barnett,6/Carton,81,0.55
676921,2018-06-30,20,First Class,Canada,Irricana,Alberta,B3T,Brenda Bowman,Eldon Simplefile Box Office,78,0.6
693428,2018-10-17,29,Standard Class,United States,Toledo,Ohio,43666,Maria Zettner,Airmail Envelopes,26,0.47
847443,2018-05-18,15,Standard Class,Canada,Cochrane,Alberta,T4C,Nona Balk,Standard Lip,23,0.42
475208,2018-08-17,28,Second Class,United States,Scottsdale,Arizona,85271,Stefanie Holloman,Wilson Jones Century Plastic Molded Ring Binders,58,0.03
32610,2018-12-09,21,Standard Class,Canada,Bridgewater,Nova Scotia,B4V,Liz Carlisle,Newell 321,13,0.66
548006,2018-06-17,7,First Class,Canada,Oshawa,Ontario,L1K,Toby Gnade,Nu-Dell Leatherette Frames,98,0.62
264549,2018-06-09,8,First Class,Mexico,San Isidro,Durango,35156,Dave Poirier,Portable Personal File Box,49,0.56
438289,2018-08-27,18,Expedited,Canada,Mont-Royal,Québec,H5B,Dorris liebe,Newell 350,1,0.2
785019,2018-10-30,18,Second Class,Mexico,Tierra Blanca,Guerrero,40678,Tracy Poddar,12/Pack,84,0.06
586092,2018-08-17,15,First Class,Mexico,Morelos,Michoacan De Ocampo,61609,Mark Cousins,Barricks 18 x 48 Non-Folding Utility Table with Bottom Storage Shelf,53,0.18
448631,2018-07-19,20,Standard Class,United States,Corona,California,92883,Liz Preis,Acme Design Line 8 Stainless Steel Bent Scissors w/Champagne Handles,88,0.3
59612,2018-04-16,15,Standard Class,Mexico,Cuauhtemoc,Tamaulipas,87426,Roy Collins,Catalog Binders with Expanding Posts,36,0.46
115057,2018-07-08,8,First Class,Canada,Kentville,Nova Scotia,B4N,Nicole Brennan,unpunched,19,0.61
98310,2018-03-20,19,First Class,United States,Odessa,Texas,79764,Darrin Van Huff,Chisel Tip,63,0.46
853045,2018-08-14,10,First Class,Mexico,San Jose,Guerrero,39266,Bart Folk,Side-Loading,18,0.68
609705,2018-10-07,28,Second Class,United States,Chattanooga,Tennessee,37416,Janet Molinari,X-Base,32,0.56
915793,2018-07-15,24,Expedited,Canada,Neepawa,Manitoba,H3Z,Denny Blanton,OSullivan Elevations Bookcase,94,0.63
299156,2018-06-24,10,First Class,Canada,Rosthern,Saskatchewan,B0L,Stefanie Holloman,Sharp 1540cs Digital Laser Copier,94,0.38
921517,2018-01-22,30,Second Class,Canada,Vaughan,Ontario,M3N,Sarah Bern,ACCOHIDE 3-Ring Binder,81,0.12
420452,2018-11-03,10,Standard Class,United States,Schaumburg,Illinois,60193,Katherine Murray,12/Pack,68,0.12
869402,2018-11-06,10,Second Class,United States,Los Angeles,California,90065,Ken Dana,Avery 3 1/2 Diskette Storage Pages,71,0.25
941661,2018-01-06,27,Expedited,United States,Tempe,Arizona,85284,Theone Pippenger,Ampad Poly Cover Wirebound Steno Book,31,0.49
794820,2018-01-12,16,Second Class,Canada,Revelstoke,British Columbia,H9K,John Huston,Avery 51,52,0.27
142166,2018-02-02,25,Second Class,Canada,Mont-Royal,Québec,H5B,Michael Dominguez,AT&T CL82213,7,0.54
808956,2018-11-08,23,First Class,United States,Charlotte,North Carolina,28210,Tiffany House,Plastic,31,0.13
155782,2018-03-09,13,Second Class,United States,Garland,Texas,75049,Maureen Gastineau,Belkin 6 Outlet Metallic Surge Strip,37,0.72
756122,2018-12-12,17,Standard Class,Mexico,San Pedro,Mexico,52140,Darren Budd,Dax Clear Box Frame,10,0.55
357690,2018-06-26,25,First Class,United States,San Francisco,California,94110,Raymond Buch,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,3,0.09
285295,2018-11-18,10,Second Class,Mexico,San Cristobal,Guanajuato,36800,Tanja Norvell,GBC Recycled Regency Composition Covers,83,0.47
516018,2018-04-12,19,Expedited,United States,Hartford,Connecticut,06145,Sally Knutson,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,92,0.33
735089,2018-01-22,16,Second Class,United States,Saint Petersburg,Florida,33715,Michael Dominguez,Acco Perma 4000 Stacking Storage Drawers,21,0.47
439583,2018-02-20,20,First Class,United States,Scottsdale,Arizona,85260,Chris Selesnick,Eldon Shelf Savers Cubes and Bins,95,0.39
65582,2018-11-07,30,First Class,United States,Monroe,Louisiana,71213,Brenda Bowman,GuestStacker Chair with Chrome Finish Legs,72,0.34
563910,2018-04-23,2,First Class,Mexico,Vista Hermosa,Guerrero,39130,Julie Prescott,Ooma Telo VoIP Home Phone System,29,0.36
915792,2018-06-06,13,Standard Class,Canada,Les Cèdres,Québec,J6S,Katherine Ducich,Gray,33,0.37
364671,2018-08-15,27,Second Class,United States,Huntsville,Alabama,35805,Shaun Weien,High Speed Automatic Electric Letter Opener,25,0.7
922566,2018-03-06,19,First Class,Mexico,Revolucion,Veracruz Llave,93610,Ralph Ritter,Light Blue,10,0.66
118912,2018-05-16,2,Expedited,Mexico,Independencia,Michoacan De Ocampo,60070,Valerie Dominguez,While You Were Out Pads,57,0.49
673403,2018-02-25,12,Expedited,Mexico,Petrolera,Veracruz Llave,94723,Mark Packer,Global Deluxe High-Back Managers Chair,57,0.6
407170,2018-01-21,27,First Class,Canada,Carleton-sur-Mer,Québec,P0T,Alan Hwang,Accessory Kit,87,0.37
139435,2018-08-30,30,First Class,United States,Philadelphia,Pennsylvania,19120,Jessica Myrick,Hon 2111 Invitation Series Straight Table,100,0.53
104998,2018-03-30,2,Expedited,United States,Youngstown,Ohio,44505,Scot Wooten,6 Capacity,44,0.35
261137,2018-09-08,29,Second Class,United States,Lincoln,Nebraska,68510,Joni Wasserman,GBC Prestige Therm-A-Bind Covers,91,0.48
715056,2018-03-01,5,Standard Class,United States,Tampa,Florida,33647,Laurel Beltran,Four 2-3/4 x 7-1/4 Money Receipts per Page,62,0.64
73288,2018-03-16,26,Standard Class,United States,Indianapolis,Indiana,46254,Jill Matthias,Staples in misc. colors,91,0.7
997688,2018-01-29,26,Expedited,United States,Joliet,Illinois,60435,Lindsay Shagiari,Xerox 209,38,0.72
476997,2018-06-27,25,Second Class,Mexico,Rancho Viejo,Guerrero,39965,Henry Goldwyn,KeyTronicÂ KT400U2 -Â KeyboardÂ - Black,94,0.7
661791,2018-02-24,5,Second Class,Mexico,Benito Juarez,Chihuahua,31540,Jennifer Braxton,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,84,0.11
322527,2018-03-19,16,Second Class,United States,Newark,Delaware,19725,Peter McVee,Black,79,0.1
400400,2018-12-22,25,First Class,Mexico,Progreso,Chihuahua,31210,Suzanne McNair,Global Italian Leather Office Chair,70,0.15
289433,2018-09-19,11,Standard Class,United States,Melbourne,Florida,32941,Shaun Chance,Motorola L804,59,0.56
815224,2018-10-02,21,Expedited,Canada,Saint Andrews,New Brunswick,E5B,Rick Wilson,Logitech G600 MMO Gaming Mouse,55,0.12
799280,2018-08-09,12,First Class,United States,Aurora,Colorado,80045,Raymond Messe,8-1/2x11,29,0.35
